BalancePlatform,AccountHolder,BalanceAccount,Transfer Id,Transaction Id,Category,Status,Type,Booking Date,Booking Date TimeZone,Value Date,Value Date TimeZone,Currency, Amount ,Original Currency, Original Amount ,Payment Currency,Received (PC),Reserved (PC),Balance (PC),Reference,Description,Counterparty Balance Account Id,Psp Payment Merchant Reference,Psp Payment Psp Reference,Psp Modification Psp Reference,Psp Modification Merchant Reference,Reference for Beneficiary
YourBalancePlatform,AH00000000000000000000001,BA00000000000000000000001,3JY1Y65VXYY7GD3F,,platformPayment,received,capture,16/8/2022 9:02,CEST,,,EUR,396,EUR,396,EUR,396,0,0,QXhlbFN0b2x0ZW5iZXJnCg,,,YOUR_ORDER_NUMBER,SKRMHCQWC8NKGK82,8.01661E+15,<auto>,QXhlbFN0b2x0ZW5iZXJnCg
YourBalancePlatform,AH00000000000000000000001,BA00000000000000000000001,3JY1Y65VXYY7GD3F,,platformPayment,authorised,capture,16/8/2022 9:02,CEST,,,EUR,396,EUR,396,EUR,-396,396,0,QXhlbFN0b2x0ZW5iZXJnCg,,,YOUR_ORDER_NUMBER,SKRMHCQWC8NKGK82,8.01661E+15,<auto>,QXhlbFN0b2x0ZW5iZXJnCg
YourBalancePlatform,AH00000000000000000000001,BA00000000000000000000001,3JY1Y65VXYY7GD3F,3JERI65VXYY7FZXJ,platformPayment,captured,capture,16/8/2022 9:02,CEST,18/8/2022 0:00,CEST,EUR,396,EUR,396,EUR,0,-396,396,QXhlbFN0b2x0ZW5iZXJnCg,,,YOUR_ORDER_NUMBER,SKRMHCQWC8NKGK82,8.01661E+15,<auto>,QXhlbFN0b2x0ZW5iZXJnCg
YourBalancePlatform,AH00000000000000000000002,BA00000000000000000000002,ZJ00AQ5VXKN8E8E1,,platformPayment,received,capture,16/8/2022 9:02,CEST,,,EUR,4,EUR,4,EUR,4,0,0,THVjYXNCbGVkc29lCg,,,YOUR_ORDER_NUMBER,SKRMHCQWC8NKGK82,8.01661E+15,<auto>,THVjYXNCbGVkc29lCg
YourBalancePlatform,AH00000000000000000000002,BA00000000000000000000002,ZJ00AQ5VXKN8E8E2,,platformPayment,authorised,capture,16/8/2022 9:02,CEST,,,EUR,4,EUR,4,EUR,-4,4,0,THVjYXNCbGVkc29lCg,,,YOUR_ORDER_NUMBER,SKRMHCQWC8NKGK82,8.01661E+15,<auto>,THVjYXNCbGVkc29lCg
YourBalancePlatform,AH00000000000000000000002,BA00000000000000000000002,ZJ00AQ5VXKN8E8E3,ZJ00AQ5VXKN8E8D3,platformPayment,captured,capture,16/8/2022 9:02,CEST,18/8/2022 0:00,CEST,EUR,4,EUR,4,EUR,0,-4,4,THVjYXNCbGVkc29lCg,,,YOUR_ORDER_NUMBER,SKRMHCQWC8NKGK82,8.01661E+15,<auto>,THVjYXNCbGVkc29lCg
YourBalancePlatform,AH00000000000000000000003,BA00000000000000000000003,3JERI65VWKBRFIVB,,platformPayment,received,refund,16/8/2022 9:20,CEST,,,EUR,-99.99,EUR,-99.99,EUR,-99.99,0,0,,,,YOUR_ORDER_NUMBER,CWBC43ZX2VTFWR82,8.02661E+15,YOUR_REFUND_REFERENCE,
YourBalancePlatform,AH00000000000000000000003,BA00000000000000000000003,3JERI65VWKBRFIVB,,platformPayment,authorised,refund,16/8/2022 9:20,CEST,,,EUR,-99.99,EUR,-99.99,EUR,99.99,-99.99,0,,,,YOUR_ORDER_NUMBER,CWBC43ZX2VTFWR82,8.02661E+15,YOUR_REFUND_REFERENCE,
YourBalancePlatform,AH00000000000000000000003,BA00000000000000000000003,3JERI65VWKBRFIVB,3JY1Y65VWKBRDODY,platformPayment,refunded,refund,16/8/2022 9:20,CEST,18/8/2022 0:00,CEST,EUR,-99.99,EUR,-99.99,EUR,0,99.99,-99.99,,,,YOUR_ORDER_NUMBER,CWBC43ZX2VTFWR82,8.02661E+15,YOUR_REFUND_REFERENCE,
YourBalancePlatform,AH00000000000000000000001,BA00000000000000000000001,48RTTV5VXYY7NQSR,,internal,received,internalTransfer,16/8/2022 9:32,CEST,,,EUR,-15,EUR,-15,EUR,-15,0,0,YOUR_UNIQUE_REFERENCE_FOR_THE_TRANSFER,YOUR_DESCRIPTION_FOR_THE_TRANSFER,BA00000000000000000000002,,,,,YOUR_REFERENCE_FOR_THE_BENEFICIARY
YourBalancePlatform,AH00000000000000000000001,BA00000000000000000000001,48RTTV5VXYY7NQSR,,internal,authorised,internalTransfer,16/8/2022 9:32,CEST,,,EUR,-15,EUR,-15,EUR,15,-15,0,YOUR_UNIQUE_REFERENCE_FOR_THE_TRANSFER,YOUR_DESCRIPTION_FOR_THE_TRANSFER,BA00000000000000000000002,,,,,YOUR_REFERENCE_FOR_THE_BENEFICIARY
YourBalancePlatform,AH00000000000000000000001,BA00000000000000000000001,48RTTV5VXYY7NQSR,48RTTV5VXYY7NQTP,internal,booked,internalTransfer,16/8/2022 9:32,CEST,16/8/2022 9:32,CEST,EUR,-15,EUR,-15,EUR,0,15,-15,YOUR_UNIQUE_REFERENCE_FOR_THE_TRANSFER,YOUR_DESCRIPTION_FOR_THE_TRANSFER,BA00000000000000000000002,,,,,YOUR_REFERENCE_FOR_THE_BENEFICIARY
YourBalancePlatform,AH00000000000000000000002,BA00000000000000000000002,ZIXVJX5VXYYB7SED,,internal,received,internalTransfer,16/8/2022 9:32,CEST,,,EUR,15,EUR,15,EUR,15,0,0,,YOUR_UNIQUE_REFERENCE_FOR_THE_TRANSFER,BA00000000000000000000001,,,,,YOUR_REFERENCE_FOR_THE_BENEFICIARY
YourBalancePlatform,AH00000000000000000000002,BA00000000000000000000002,ZIXVJX5VXYYB7SED,,internal,authorised,internalTransfer,16/8/2022 9:32,CEST,,,EUR,15,EUR,15,EUR,-15,15,0,,YOUR_UNIQUE_REFERENCE_FOR_THE_TRANSFER,BA00000000000000000000001,,,,,YOUR_REFERENCE_FOR_THE_BENEFICIARY
YourBalancePlatform,AH00000000000000000000002,BA00000000000000000000002,ZIXVJX5VXYYB7SED,ZIXVJX5VXYYB7SDF,internal,booked,internalTransfer,16/8/2022 9:32,CEST,16/8/2022 9:32,CEST,EUR,15,EUR,15,EUR,0,-15,15,48RTTV5VXYY7NQTP,YOUR_UNIQUE_REFERENCE_FOR_THE_TRANSFER,BA00000000000000000000001,,,,,YOUR_REFERENCE_FOR_THE_BENEFICIARY
YourBalancePlatform,AH00000000000000000000001,BA00000000000000000000001,3JERI65VWVQPOOM3,,platformPayment,received,chargeback,16/8/2022 11:15,CEST,,,EUR,-400.99,EUR,-400.99,EUR,-400.99,0,0,,,,YOUR_ORDER_NUMBER,SKRMHCQWC8NKGK82,8.01661E+15,Payment.TxId=200000001634824122,
YourBalancePlatform,AH00000000000000000000001,BA00000000000000000000001,3JERI65VWVQPOOM3,,platformPayment,authorised,chargeback,16/8/2022 11:15,CEST,,,EUR,-400.99,EUR,-400.99,EUR,400.99,-400.99,0,,,,YOUR_ORDER_NUMBER,SKRMHCQWC8NKGK82,8.01661E+15,Payment.TxId=200000001634824122,
YourBalancePlatform,AH00000000000000000000001,BA00000000000000000000001,3JERI65VWVQPOOM3,3JERI65VWVQPOOOZ,platformPayment,chargeback,chargeback,16/8/2022 11:15,CEST,16/8/2022 0:00,CEST,EUR,-400.99,EUR,-400.99,EUR,0,400.99,-400.99,,,,YOUR_ORDER_NUMBER,SKRMHCQWC8NKGK82,8.01661E+15,Payment.TxId=200000001634824122,
YourBalancePlatform,AH00000000000000000000001,BA00000000000000000000001,3JERI65VWVQPOOM3,3JERI65VWWC5AIUV,platformPayment,chargebackReversed,chargebackReversal,17/8/2022 17:55,CEST,17/8/2022 0:00,CEST,EUR,390,EUR,390,EUR,0,0,390,,,,YOUR_ORDER_NUMBER,SKRMHCQWC8NKGK82,8.01661E+15,Payment.TxId=200000001634824122,
YourBalancePlatform,AH00000000000000000000001,BA00000000000000000000001,3JERI65VWVQPOOM3,3JERI65VWWXLJGWO,platformPayment,secondChargeback,secondChargeback,17/8/2022 23:04,CEST,18/8/2022 0:00,CEST,EUR,-400.99,EUR,-400.99,EUR,0,0,-400.99,,,,YOUR_ORDER_NUMBER,SKRMHCQWC8NKGK82,8.01661E+15,Payment.TxId=200000001634824122,
YourBalancePlatform,AH00000000000000000000003,BA00000000000000000000003,48RTTV5VWUPBURVQ,,bank,received,bankTransfer,16/8/2022 13:42,CEST,,,EUR,-50,EUR,-50,EUR,-50,0,0,,,,,,,,YOUR_REFERENCE_FOR_THE_BENEFICIARY
YourBalancePlatform,AH00000000000000000000003,BA00000000000000000000003,48RTTV5VWUPBURVQ,,bank,refused,bankTransfer,16/8/2022 13:42,CEST,,,EUR,-50,EUR,-50,EUR,50,0,0,,,,,,,,YOUR_REFERENCE_FOR_THE_BENEFICIARY
YourBalancePlatform,AH00000000000000000000003,BA00000000000000000000003,ZE5Y6R5VWUDCRCAQ,,bank,received,bankTransfer,16/8/2022 13:45,CEST,,,EUR,-30,EUR,-30,EUR,-30,0,0,,,,,,,,YOUR_REFERENCE_FOR_THE_BENEFICIARY
YourBalancePlatform,AH00000000000000000000003,BA00000000000000000000003,ZE5Y6R5VWUDCRCAQ,,bank,authorised,bankTransfer,16/8/2022 13:45,CEST,,,EUR,-30,EUR,-30,EUR,30,-30,0,,,,,,,,YOUR_REFERENCE_FOR_THE_BENEFICIARY
YourBalancePlatform,AH00000000000000000000003,BA00000000000000000000003,ZE5Y6R5VWUDCRCAQ,ZE5Y6R5VWUDCRCBO,bank,booked,bankTransfer,16/8/2022 13:45,CEST,16/8/2022 13:45,CEST,EUR,-30,EUR,-30,EUR,0,30,-30,ZE5Y6R5VWUDCRC9R,ZE5Y6R5VWUDCRC9R,,,,,,YOUR_REFERENCE_FOR_THE_BENEFICIARY
YourBalancePlatform,AH00000000000000000000002,BA00000000000000000000002,3JY1Y65VXWKY63O7,,internal,received,fee,16/8/2022 21:52,CEST,,,EUR,-0.39,EUR,-0.39,EUR,-0.39,0,0,,,,,,,Transaction fees from batch 3 for account YourMerchantAccount,
YourBalancePlatform,AH00000000000000000000002,BA00000000000000000000002,3JY1Y65VXWKY63O7,,internal,authorised,fee,16/8/2022 21:52,CEST,,,EUR,-0.39,EUR,-0.39,EUR,0.39,-0.39,0,,,,,,,Transaction fees from batch 3 for account YourMerchantAccount,
YourBalancePlatform,AH00000000000000000000002,BA00000000000000000000002,3JY1Y65VXWKY63O7,3JERI65VXWKY5PGF,internal,fee,fee,16/8/2022 21:52,CEST,16/8/2022 0:00,CEST,EUR,-0.39,EUR,0.39,EUR,0,0.39,-0.39,,,,,,,Transaction fees from batch 3 for account YourMerchantAccount,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,x,,,,,,,,,,,,,,,,,
